study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,84.079025197446,51.449228335193,4084,4483,399,6.3258993057254,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,91.257716049383,53.351557907113,4501,4696,195,41.792245682512,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,43.358134920635,57.268518518519,4715,4857,142,31.666631575227,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,7.0598447712418,60.07613600996,4890,5281,391,4.7723476596514,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,1.8970340661517,56.833488951136,5299,5676,377,2.8772491840151,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,2.5145154553049,51.068259875277,5705,6087,382,20.366461223735,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,25.582107843137,57.701525054466,6208,6606,398,11.265022845933,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,13.34727483165,65.10907687991,6670,6989,319,19.566401704786,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,32.708333333333,44.907407407407,7020,7113,93,34.422993857854,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,72.142726030884,48.800048054434,7133,7531,398,7.6269268023744,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,80.235844397029,42.883278014857,7550,7938,388,10.37051643848,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,90.157335069444,31.206597222222,7969,8349,380,34.22399511654,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,53.425892998261,55.884041936674,8469,8856,387,6.8386228687913,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,45.852250575935,59.529136393171,8884,9265,381,14.582924622559,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,33.792145997007,80.146994637735,9295,9680,385,8.7297347696017,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,24.090277777778,75.722222222222,9712,9996,284,,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,06848cca-e9b5-42a7-9abb-86d89df6e9f5,,Anonymous,,6,6,1,1,50.36101758324,55.665918443696,2,390,388,7.239093734915,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,06848cca-e9b5-42a7-9abb-86d89df6e9f5,,Anonymous,,6,6,1,1,56.886691838898,64.800506388742,407,806,399,3.6653952812764,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,06848cca-e9b5-42a7-9abb-86d89df6e9f5,,Anonymous,,6,6,1,1,54.134810405644,70.454071134627,839,1225,386,6.8475261776297,
