study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,49.675933388256,34.686369871555,3,392,389,3.3859935869663,"RealEye v14.13.0; FixationFilterSettings [gazePointInterpolationHz = 30; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 150; minFixationDurationMs = 80; maxFixationDurationMs = 400; movingMediaRangeMs = 200; saccadeMaxDurationMs = 150]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderNotSpecified=true;exposureNumber=1;qualityMin=1;qualityMax=6;exposureNumber=1;isParticipantTypeRealEye=true;isParticipantTypeNonRealEye=true;isDeviceDesktop=true;isDeviceSmartphone=true;isDeviceTablet=true;isSetupLocal=true;isSetupMouse=true;isSetupOpengaze=true]; 2023-06-30T23:11:31+00:00"
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,53.125,31.507936507937,410,567,157,19.634382627133,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,33.003089760034,13.5009553204,598,981,383,2.3158677093017,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,30.636903258778,11.351851851852,1000,1395,395,3.658505344474,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,27.96626984127,5.5946593915344,1424,1781,357,10.475564131888,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,35.157214506173,-11.526491769547,1843,2237,394,6.2340515519492,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,42.308159349826,-11.251028806584,2254,2630,376,6.8984604364511,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,39.864174836601,2.1323529411765,2660,3045,385,2.3021194649207,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,41.436011904762,5.9060846560847,3065,3396,331,24.546803369661,
90e2eb8b-21bc-4e27-8473-19e01fe15142,0525dcff-db76-410b-8ab2-90a5607bfdf1,konijntjes1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_90e2eb8b-21bc-4e27-8473-19e01fe15142/project_lg_0525dcff-db76-410b-8ab2-90a5607bfdf1.jpg?v=14.13.0,f84f5075-9713-4ada-9825-06c08c9f7b1c,,Anonymous,,5,5,1,1,14.701418067227,21.652843797452,3522,3900,378,2.8337924084437,
